rank	word	count	level	source	flags
90	ข้า	28100019	pre-a1	phupha-wordfreq	pythainlp
91	ใช้	27611517	pre-a1	phupha-wordfreq	pythainlp
92	เห	27532993	pre-a1	phupha-wordfreq	pythainlp|short-token-review
93	ก็	27341206	pre-a1	phupha-wordfreq	pythainlp
94	รอ	27315062	pre-a1	phupha-wordfreq	pythainlp|short-token-review
95	ย่า	26881458	pre-a1	phupha-wordfreq	pythainlp
96	เกม	26806296	pre-a1	phupha-wordfreq	pythainlp
97	รม	26597952	pre-a1	phupha-wordfreq	pythainlp|short-token-review
98	ยา	26570677	pre-a1	phupha-wordfreq	pythainlp|short-token-review
99	ไป	26485627	pre-a1	phupha-wordfreq	pythainlp
100	เอ	26293359	pre-a1	phupha-wordfreq	pythainlp|short-token-review
101	ล็อต	26166068	pre-a1	phupha-wordfreq	pythainlp
102	อย่า	26066412	pre-a1	phupha-wordfreq	pythainlp
103	สล็อต	26052913	pre-a1	phupha-wordfreq	pythainlp
104	อด	26040828	pre-a1	phupha-wordfreq	pythainlp|short-token-review
105	เม	25826802	pre-a1	phupha-wordfreq	pythainlp|short-token-review
106	ทา	25636717	pre-a1	phupha-wordfreq	pythainlp|short-token-review
107	แบ	25279865	pre-a1	phupha-wordfreq	pythainlp|short-token-review
108	โด	24970728	pre-a1	phupha-wordfreq	pythainlp|short-token-review
109	ตอ	24902543	pre-a1	phupha-wordfreq	pythainlp|short-token-review
110	สำ	24887671	pre-a1	phupha-wordfreq	pythainlp|short-token-review
111	ย่าง	24866803	pre-a1	phupha-wordfreq	pythainlp
112	อย่าง	24642919	pre-a1	phupha-wordfreq	pythainlp
113	เต	24545259	pre-a1	phupha-wordfreq	pythainlp|short-token-review
114	เข้	24043119	pre-a1	phupha-wordfreq	pythainlp
115	ดิ	23847669	pre-a1	phupha-wordfreq	pythainlp|short-token-review
116	ต้อ	23647965	pre-a1	phupha-wordfreq	pythainlp
117	บก	23575775	pre-a1	phupha-wordfreq	pythainlp|short-token-review
118	ลิ	23270047	pre-a1	phupha-wordfreq	pythainlp|short-token-review
119	เข้า	23163755	pre-a1	phupha-wordfreq	pythainlp
120	มาร	22934862	pre-a1	phupha-wordfreq	pythainlp
121	วัน	22653267	pre-a1	phupha-wordfreq	pythainlp
122	ต้อง	22570977	pre-a1	phupha-wordfreq	pythainlp
123	สน	22551361	pre-a1	phupha-wordfreq	pythainlp|short-token-review
124	สาม	22122736	pre-a1	phupha-wordfreq	pythainlp
125	ยก	21423632	pre-a1	phupha-wordfreq	pythainlp|short-token-review
126	ยง	21282477	pre-a1	phupha-wordfreq	pythainlp|short-token-review
127	นว	21251531	pre-a1	phupha-wordfreq	pythainlp|short-token-review
128	ใจ	21082485	pre-a1	phupha-wordfreq	pythainlp|short-token-review
129	นร	20788940	pre-a1	phupha-wordfreq	pythainlp|short-token-review
130	ลน	20675580	pre-a1	phupha-wordfreq	pythainlp|short-token-review
131	ทาง	20636278	pre-a1	phupha-wordfreq	pythainlp
132	นิ	20549464	pre-a1	phupha-wordfreq	pythainlp|short-token-review
133	ทุก	20459290	pre-a1	phupha-wordfreq	pythainlp
134	กัน	20446433	pre-a1	phupha-wordfreq	pythainlp
135	หรือ	20242054	pre-a1	phupha-wordfreq	pythainlp
136	รส	20215091	pre-a1	phupha-wordfreq	pythainlp|short-token-review
137	ตา	20210002	pre-a1	phupha-wordfreq	pythainlp|short-token-review
138	วก	20204925	pre-a1	phupha-wordfreq	pythainlp|short-token-review
139	บอ	20200001	pre-a1	phupha-wordfreq	pythainlp|short-token-review
140	สามารถ	20193067	pre-a1	phupha-wordfreq	pythainlp
141	รู	20181347	pre-a1	phupha-wordfreq	pythainlp|short-token-review
142	โดย	20109088	pre-a1	phupha-wordfreq	pythainlp
143	สู	20108312	pre-a1	phupha-wordfreq	pythainlp|short-token-review
144	มท	19905511	pre-a1	phupha-wordfreq	pythainlp|short-token-review
145	เรา	19886205	pre-a1	phupha-wordfreq	pythainlp
146	ตัว	19735203	pre-a1	phupha-wordfreq	pythainlp
147	นม	19714985	pre-a1	phupha-wordfreq	pythainlp|short-token-review
148	แบบ	19635149	pre-a1	phupha-wordfreq	pythainlp
149	มาก	19615753	pre-a1	phupha-wordfreq	pythainlp
150	สร	19612962	pre-a1	phupha-wordfreq	pythainlp|short-token-review
151	ชา	19599285	pre-a1	phupha-wordfreq	pythainlp|short-token-review
152	เพื่อ	19570022	pre-a1	phupha-wordfreq	pythainlp
153	รก	19498189	pre-a1	phupha-wordfreq	pythainlp|short-token-review
154	สุด	19293143	pre-a1	phupha-wordfreq	pythainlp
155	ข้อ	19166211	pre-a1	phupha-wordfreq	pythainlp
156	คน	18741217	pre-a1	phupha-wordfreq	pythainlp
157	งม	18693844	pre-a1	phupha-wordfreq	pythainlp|short-token-review
158	คล	18661295	pre-a1	phupha-wordfreq	pythainlp|short-token-review
159	กก	18628923	pre-a1	phupha-wordfreq	pythainlp|short-token-review
160	สี	18519019	pre-a1	phupha-wordfreq	pythainlp|short-token-review
161	ขา	18408246	pre-a1	phupha-wordfreq	pythainlp|short-token-review
162	งิ	18367863	pre-a1	phupha-wordfreq	pythainlp|short-token-review
163	กษ	18342782	pre-a1	phupha-wordfreq	pythainlp|short-token-review
164	แต่	18257711	pre-a1	phupha-wordfreq	pythainlp
165	เงิน	18241420	pre-a1	phupha-wordfreq	pythainlp
166	มือ	18166034	pre-a1	phupha-wordfreq	pythainlp
167	ไท	18164540	pre-a1	phupha-wordfreq	pythainlp|short-token-review
168	ด้วย	17954561	pre-a1	phupha-wordfreq	pythainlp
169	รณ	17938198	pre-a1	phupha-wordfreq	pythainlp|short-token-review
170	ทร	17782525	pre-a1	phupha-wordfreq	pythainlp|short-token-review
171	ต่อ	17756908	pre-a1	phupha-wordfreq	pythainlp
172	จำ	17730591	pre-a1	phupha-wordfreq	pythainlp|short-token-review
173	ไลน์	17590060	pre-a1	phupha-wordfreq	pythainlp
174	ลง	17489628	pre-a1	phupha-wordfreq	pythainlp|short-token-review
175	แล้	17436603	pre-a1	phupha-wordfreq	pythainlp
176	แล้ว	17372610	pre-a1	phupha-wordfreq	pythainlp
177	ออน	17296040	pre-a1	phupha-wordfreq	pythainlp
178	ริก	17189458	pre-a1	phupha-wordfreq	pythainlp
179	ผล	17135989	pre-a1	phupha-wordfreq	pythainlp|short-token-review
180	ไทย	17043465	pre-a1	phupha-wordfreq	pythainlp
181	ภาพ	16982732	pre-a1	phupha-wordfreq	pythainlp
182	มอ	16979333	pre-a1	phupha-wordfreq	pythainlp|short-token-review
183	รุ	16957153	pre-a1	phupha-wordfreq	pythainlp|short-token-review
184	ยม	16825400	pre-a1	phupha-wordfreq	pythainlp|short-token-review
185	กค	16796762	pre-a1	phupha-wordfreq	pythainlp|short-token-review
186	ดู	16740681	pre-a1	phupha-wordfreq	pythainlp
187	วง	16554774	pre-a1	phupha-wordfreq	pythainlp|short-token-review
188	ลือ	16540937	pre-a1	phupha-wordfreq	pythainlp
189	ออนไลน์	16492517	pre-a1	phupha-wordfreq	pythainlp
190	ยอ	16438272	pre-a1	phupha-wordfreq	pythainlp|short-token-review
191	ทั้ง	16149794	pre-a1	phupha-wordfreq	pythainlp
192	บท	16078377	pre-a1	phupha-wordfreq	pythainlp|short-token-review
193	ราย	16023577	pre-a1	phupha-wordfreq	pythainlp
194	บน	15864906	pre-a1	phupha-wordfreq	pythainlp|short-token-review
195	อี	15821094	pre-a1	phupha-wordfreq	pythainlp|short-token-review
196	บริการ	15640211	pre-a1	phupha-wordfreq	pythainlp
197	รท	15414907	pre-a1	phupha-wordfreq	pythainlp|short-token-review
198	ร้า	15400533	pre-a1	phupha-wordfreq	pythainlp
199	กระ	15251881	pre-a1	phupha-wordfreq	pythainlp
200	นัก	15186870	pre-a1	phupha-wordfreq	pythainlp
201	มก	14953850	pre-a1	phupha-wordfreq	pythainlp|short-token-review
202	เจ	14693969	pre-a1	phupha-wordfreq	pythainlp|short-token-review
203	พล	14679134	pre-a1	phupha-wordfreq	pythainlp|short-token-review
204	นข	14508286	pre-a1	phupha-wordfreq	pythainlp|short-token-review
205	ระบบ	14393142	pre-a1	phupha-wordfreq	pythainlp
206	หรับ	14280863	pre-a1	phupha-wordfreq	pythainlp
207	ค้า	14249107	pre-a1	phupha-wordfreq	pythainlp
